имат,have
цитирам,cite
благосъстояние,welfare
зеленчук,vegetable
сиво,gray
чиния,dish
плаж,beach
подобрение,improvement
навсякъде,everywhere
отваряне,opening
като цяло,overall
разделям,divide
начален,initial
ужасно,terrible
противопоставят се,oppose
съвременен,contemporary
маршрут,route
многократни,multiple
съществено значение,essential
лига,league
престъпник,criminal
внимателен,careful
сърцевина,core
горен,upper
втурвам се,rush
непременно,necessarily
специално,specifically
уморен,tired
наема,employ
празник,holiday
огромен,vast
резолюция,resolution
домакинство,household
по-малко,fewer
аборт,abortion
на части,apart
свидетел,witness
съвпада,match
едва,barely
сектор,sector
Представител,representative
отдолу,beneath
инцидент,incident
ограничен,limited
горд,proud
поток,flow
факултет,faculty
увеличена,increased
отпадъци,waste
просто,merely
маса,mass
подчертавам,emphasize
експеримент,experiment
определено,definitely
бомба,bomb
огромен,enormous
либерален,liberal
масивна,massive
инженер,engineer
колело,wheel
упадък,decline
инвестирам,invest
кабел,cable
излагам,expose
селски,rural
СПИН,AIDS
тесни,narrow
сметана,cream
секретар,secretary
порта,gate
твърдо,solid
хълм,hill
обикновено,typically
трева,grass
за жалост,unfortunately
законодателство,legislation
успявам,succeed
празнувам,celebrate
постижение,achievement
риболов,fishing
обвинявам,accuse
полезен,useful
отхвърлям,reject
талант,talent
вкус,taste
Характеристика,characteristic
мляко,milk
бягство,escape
гласове,cast
изречение,sentence
необичайно,unusual
отблизо,closely
убеждавам,convince
височина,height
лекар,physician
оценявам,assess
много,plenty
виртуално,virtually
допълнение,addition
остър,sharp
творчески,creative
нисък,lower
одобрявам,approve
обяснение,explanation
кампус,campus
правилно,proper
виновен,guilty
придобивам,acquire
състезавам се,compete
технически,technical
плюс,plus
имигрант,immigrant
слаб,weak
незаконно,illegal
алтернатива,alternative
взаимодействие,interaction
колона,column
личност,personality
сигнал,signal
учебна програма,curriculum
чест,honor
пътник,passenger
помощ,assistance
завинаги,forever
отношение,regard
израелски,Israeli
асоциация,association
двадесет,twenty
чукам,knock
обвивам,wrap
лаборатория,lab
дисплей,display
критика,criticism
актив,asset
депресия,depression
духовен,spiritual
музикален,musical
журналист,journalist
молитва,prayer
заподозрян,suspect
учен,scholar
внимание,warning
климат,climate
сирене,cheese
наблюдение,observation
детство,childhood
плащане,payment
господине,sir
разрешително,permit
цигара,cigarette
определение,definition
приоритет,priority
хляб,bread
създаване,creation
завършвам,graduate
искане,request
емоция,emotion
драматичен,dramatic
вселена,universe
празнина,gap
отлично,excellent
дълбоко,deeply
прокурор,prosecutor
късметлия,lucky
плъзнете,drag
авиокомпания,airline
библиотека,library
дневен ред,agenda
възстанови се,recover
фабрика,factory
селекция,selection
преди всичко,primarily
покрив,roof
неспособен,unable
разход,expense
инициативност,initiative
диета,diet
арестуване,arrest
финансиране,funding
терапия,therapy
график,schedule
тъжен,sad
кратко,brief
жилища,housing
пост,post
покупка,purchase
съществуващ,existing
стомана,steel
относно,regarding
викам,shout
оставащи,remaining
визуален,visual
справедливо,fairly
насилствен,violent
безшумен,silent
предполагам,suppose
себе си,self
велосипед,bike
възприемам,perceive
сравнение,comparison
селище,settlement
слой,layer
планиране,planning
описание,description
пързалка,slide
широко,widely
сватба,wedding
информирам,inform
порция,portion
територия,territory
незабавно,immediate
опонент,opponent
изоставям,abandon
езеро,lake
трансформирам,transform
напрежение,tension
водещи,leading
притеснявам,bother
състоя се,consist
алкохол,alcohol
активирайте,enable
извивам,bend
спестяване,saving
пустинен,desert
грешка,error
ченге,cop
арабски,Arab
двойно,double
пясък,sand
испански,Spanish
печат,print
запазвам,preserve
пасаж,passage
формален,formal
преход,transition
съществуване,existence
албум,album
участие,participation
подредете,arrange
атмосфера,atmosphere
става,joint
отговор,reply
цикъл,cycle
противоположност,opposite
ключалка,lock
заслужават,deserve
последователен,consistent
съпротива,resistance
откритие,discovery
излагане,exposure
поза,pose
поток,stream
продажба,sale
гърне,pot
грандиозен,grand
моята,mine
Здравейте,hello
коалиция,coalition
приказка,tale
разрешавам,resolve
расов,racial
фаза,phase
шега,joke
палто,coat
мексикански,Mexican
симптом,symptom
производител,manufacturer
философия,philosophy
картофи,potato
фондация,foundation
цитат,quote
онлайн,online
договаряне,negotiation
порив,urge
повод,occasion
прах,dust
дишам,breathe
избирам,elect
следовател,investigator
радвам се,glad
обикновени,ordinary
намаляване,reduction
Рядко,rarely
опаковка,pack
самоубийство,suicide
многобройни,numerous
вещество,substance
дисциплина,discipline
другаде,elsewhere
желязо,iron
практичен,practical
освен това,moreover
страст,passion
доброволец,volunteer
изпълнявам,implement
по същество,essentially
принудително изпълнение,enforcement
независимост,independence
маркетинг,marketing
свещеник,priest
невероятно,amazing
интензивен,intense
аванс,advance
работодател,employer
вдъхновяват,inspire
коригирайте,adjust
пенсионирам,retire
видими,visible
целувка,kiss
болест,illness
шапка с козирка,cap
навик,habit
конкурентни,competitive
конгресен,congressional
участие,involvement
упражнявам контрол,dominate
преди това,previously
когато и да е,whenever
трансфер,transfer
анализирам,analyze
прикачвам,attach
бедствие,disaster
паркинг,parking
перспектива,prospect
оплакване,complaint
шампионат,championship
фундаментален,fundamental
тежка,severe
подобрявам,enhance
мистерия,mystery
налагам,impose
бедност,poverty
влизане,entry
разходи,spending
крал,king
оценявам,evaluate
символ,symbol
производител,maker
настроение,mood
постигне,accomplish
акцент,emphasis
илюстрирам,illustrate
обувка,boot
монитор,monitor
азиатски,Asian
забавление,entertainment
оценка,evaluation
създание,creature
командир,commander
дигитален,digital
подреждане,arrangement
концентрат,concentrate
