този;this one
изпитване;test
стъпка;step
ходя;walking
спя;sleeping
лош;bad
пост;post
димитър;dimiter
варен;boiled
явно;obviously
Чл;Art
леко;slightly
позволявам;I allow
накрая;finally
поддържам;I support
изкуство;art
съобщение;message
мистър;Mr.
опасност;danger
питам;I ask
метър;meter
небе;sky
златен;gold
против;against
I;I
клуб;club
намерение;intention
гарантирам;I guarantee
C;C
южен;south
кръг;circle
чаша;cup
описание;description
налага;imposes
сайт;site
устройство;device
войник;soldier
лекарство;medicine
чест;honor
криза;crisis
бива;it happens
дневен;daily
инвестиция;investment
заема;loan
александър;Alexander
северен;northern
връщам;I return
клас;class
следва;follows
кандидат;candidate
изпълнявам;perform
код;code
следа;trace
срещна;met
пристигна;arrived
вх;ent
харесвам;I like
самолет;plane
отнася;refers
туристически;tourist
очевидно;obviously
иначе;otherwise
14;14
доказателство;proof
планина;Mountain
тъкмо;just
ляв;left
разполагам;I have
пространство;space
функция;function
музика;music
занимавам;occupy
прекалено;too much
медицински;medical
широк;wide
гръд;chest
отдавна;long ago
данък;tax
N;N
чак;chuck
безопасност;safety
отделение;department
джон;John
вятър;wind
искане;request
заменя;replaces
далеч;far away
освободя;released
елемент;element
автомобил;car
мъртъв;dead
висш;higher
завърша;finish
дълг;debt
пия;I drink
анализ;analysis
престъпление;crime
вътре;inside
предишен;previous
кредит;credit
тъмен;dark
a;a
дух;spirit
временен;temporary
достъп;access
изключително;exceptional
инструмент;tool
хотел;hotel
спомен;memory
структура;structure
категория;category
запитам;I ask
гост;guest
горен;upper
красив;beautiful
премина;passed
медия;media
обучение;training
The;The
депутат;MP
оня;she
нисък;short
някъде;somewhere
полза;advantage
наименование;name
внимателно;carefully
що;what
колега;colleague
регистрирам;I register
к;k
лежа;lying down
практик;practitioner
лесно;easy
морски;sea
in;in
енергия;energy
стига;enough
изглеждам;look like
осигуря;provides
25;25
конкретен;specific
износ;export
донеса;brought
обратно;back
изпитвам;I feel
цвят;color
някога;sometime
турция;Turkey
жертва;victim
достигна;reached
звезда;star
задържа;holds
петър;Peter
госпожа;ma'am
победа;victory
де;where
наука;science
убийство;murder
италия;Italy
bgcolor;bgcolor
ухо;ear
щат;state
новина;news
режим;mode
ръководство;guide
електронен;electronic
вещ;thing
поскоро;rather
зелен;green
спрямо;to
потребител;user
турски;Turkish
подобно;similar
съдия;judge
студен;cold
добро;good
сравнение;comparison
членка;member
обявя;announces
пазя;groove
експерт;expert
стол;table
професионален;professional
неопределен;indefinite
господ;sir
раздел;section
лист;sheet
разположен;located
естествено;of course
хайде;come on
активен;active
преговор;negotiation
проверя;check
компетентен;competent
състоя;took place
предвиждам;I anticipate
коса;hair
прибера;clean up
екип;team
приход;income
интересен;interesting
сваля;download
строителство;construction
чуждестранен;foreign
нужен;needed
=[;= [
намаля;decreased
гърция;Greece
коментирам;I comment
издавам;issue
заплата;salary
гръцки;Greek
сън;sleep
законодателство;legislation
минало;the past
строеж;construction
измъкна;to pull out
16;16
50;50
бележка;note
напиша;write
предприема;undertakes
съмнение;doubt
определяне;determination
скъп;expensive
приближа;approaching
кога;when
застана;stopped
опасен;dangerous
увелича;increases
18;18
ум;mind
тихо;quietly
околен;surrounding
столица;the capital
сърбия;Serbia
изцяло;completely
спомня;remembers
грешка;error
убедя;convinced
публичен;public
липсвам;I'm missing
печалба;profit
страница;page
сезон;season
вик;вик
предизвикам;challenge
млрд;billion
чист;clean
данъчен;tax
господар;ruler
публикувам;I publish
прочета;read
уча;I study
такса;tax
др;etc.
протокол;protocol
регионален;regional
двигател;engine
пр;etc
събирам;I collect
обява;ad
жител;inhabitant
източен;eastern
удоволствие;pleasure
схема;scheme
скорост;speed
младеж;youth
направо;straight
николай;николай
десен;right
характер;character
битка;battle
31;31
известно;known
дълбоко;deep
генерал;general
тайна;secret
пореден;consecutive
дьо;de
left;left
лично;personal
утре;tomorrow
обикновен;ordinary
богат;rich
обръщам;I turn
болест;disease
бърз;fast
звук;sound
продавам;for sale
БСП;BSP
32;32
пример;example
надолу;down
заем;loan
O;Oh
­;
крия;hide
учител;teacher
случва;happens
спася;saved
съзнание;consciousness
радвам;I'm glad
опис;description
специалист;specialist
дама;lady
нос;nose
нагоре;up
понеже;because
плащане;payment
администрация;administration
обстоятелство;circumstance
постоянен;permanent
влияние;influence
докажа;will prove
транспортен;transport
технология;technology
петров;petrov
остър;sharp
транспорт;transport
дето;where
фигура;figure
заседание;meeting
кв;sq
търговец;merchant
одобря;approves
провеждам;conduct
съглася;agreed
разследване;investigation
здраве;health
магазин;shop
усет;sense
внезапно;suddenly
литература;literature
редица;a number
двор;yard
институт;institute
секунда;second
отправя;sets off
отпусна;let go
продължение;continued
сцена;scene
ж;g
политика;politics
губя;losing
седем;seven
дължа;I owe
разглеждам;I'm looking
христо;Christ
едновременно;at the same time
опаковка;package
градина;garden
личност;personality
100;100
родител;parent
06;6
повод;occasion
засега;for now
наред;ok
културен;cultural
незабранен;not prohibited
птица;bird
интернет;Internet
температура;temperature
21;21
израз;expression
предварително;in advance
полицай;the policeman
изграждане;construction
разтвор;solution
поведение;behavior
съдба;destiny
пазарен;market
инвестиционен;investment
ос;os
мил;mil
вълна;wave
зъб;tooth
ама;but
одобрение;approval
повярвам;I believe
развивам;develop
сянка;shadow
телевизия;television
заболяване;disease
хари;Harry
тръгвам;I'm leaving
твърдя;I claim
24;24
реформа;reform
спечеля;I won
бюро;desk
юридически;legally
03;3
съвременен;contemporary
решавам;I decide
крачка;step
служа;serves
обяснявам;I explain
присъствие;presence
сръбски;Serbian
румъния;Romania
ъгъл;angle
минимален;minimal
участник;participant
война;war
пол;sex
картина;picture
приемам;I accept
секретар;secretary
болен;ill
жалба;complaint
вино;wine
акционер;shareholder
оказвам;I render
излижа;licking
връв;cord
разделя;divides
смея;laugh
войска;army
спокойно;calm down
съответно;respectively
род;genus
роден;born
Ню;Nude
помня;I remember
усещам;I feel
навън;outside
вариант;option
разказвам;I tell
избягам;I run away
шум;noise
наймалко;at least
съжалявам;I'm sorry
гласувам;vote
специфичен;specific
04;4
17;17
бл;bl
помещение;room
правен;legal
препратка;reference
срещам;I meet
отворя;opens
скала;rock
детски;children's
преработя;rework
съоръжение;installation
учен;scientist
актив;asset
ида;and yes
становище;position
височина;height
партньор;partner
ml;Jr.
фактор;factor
появя;appears
помагам;I help
II;II
страхувам;I'm afraid
name;name
риба;fish
мария;Maria
скрия;hide
лъжа;lie
конкурс;competition
осигурявам;provide
разстояние;distance
пътуване;travel
здравен;healthy
Д;D
клиничен;clinical
СТР;PAGE
интересувам;I'm interested
исторически;historical
приключа;adventure
косово;Kosovo
декларация;declaration
кол;count
същество;being
оператор;operator
даден;given
09;9
критерий;criterion
театър;theater
сериозно;seriously
николов;nikolov
допълнение;addition
потвърдя;confirmed
ученик;student
22;22
свържа;connect
наведа;led
финансиране;financing
заден;rear
слаб;weak
образ;image
молба;request
доход;income
контролирам;control
обем;volume
кратък;short
даже;even
05;5
банков;banks
стратегия;strategy
герой;the hero
покрай;along
вярно;TRUE
марка;brand
необходимост;necessity
максимален;maximum
наредба;ordinance
нормален;normal
англия;England
23;23
особен;special
спирам;I stop
сегашен;current
прекъсна;he interrupted
изненада;surprise
комисионен;commission
разреша;allow
васил;basil
споделя;shares
строителен;construction
таблица;table
радост;joy
подпиша;sign
равен;equal
намаляване;reduction
равнище;level
познат;familiar
ръководител;head
завися;depends
работник;worker
пътувам;I travel
съвместен;joint
ползвам;I use
парламентарен;parliamentary
наредя;I ordered
осем;eight
възрастен;adult
почувствам;I will feel
америка;America
реален;real
допускам;I admit
успявам;I succeed
празен;empty
ход;move
ресурс;resource
E;E
обещая;promising
textalign;textalign
коридор;corridor
умирам;I'm dying
отговоря;answers
продам;for sale
щастлив;happy
енергиен;energy
държавачленка;member country
парче;piece
прекарам;spend
стефан;stefan
издам;издам
скоча;jumps
бой;fight
19;19
роман;novel
прокурор;prosecutor
съхранявам;store
повърхност;surface
нежелан;unwanted
разговарям;I'm talking
заведение;place
подкрепя;supports
неизвестен;unknown
пътник;passenger
том;volume
поголям;bigger
сигнал;signal
бюджетен;budget
00;0
здрав;healthy
бул;бул
болница;hospital
подготовка;preparation
помоля;please
шанс;chance
дълбок;deep
офицер;officer
достатъчен;sufficient
s;s
клетка;cell
обработен;processed
биография;biography
kg;kg
офис;office
заведа;lead
свия;shrink
влизане;entry
превръщам;convert
прост;simple
мир;the world
затворен;closed
долен;lower
върша;I do
джоб;pocket
справя;handles
началник;boss
незабавно;immediately
заличавам;delete
кача;download
приложа;attached
етап;stage
журналист;journalist
вина;guilt
оборудване;equipment
км;km
инвеститор;investor
курс;course
христов;of Christ
въведа;entered
проба;sample
половин;halves
загубя;lose
купя;buy
предпочитам;I prefer
копие;copy
играч;player
бургас;Burgas
покрия;cover
верига;chain
прехвърляне;transfer
преден;front
писател;writer
изпращам;send
бъдещ;future
кампания;campaign
враг;the enemy
лондон;London
селище;settlement
определение;definition
наоколо;around
хил;thousand
вземане;making
нима;not
испания;spain
доколкото;as far as
издание;edition
наем;rent
днешен;today
стил;style
спомням;I remember
изток;east
обвинение;accusation
воля;will
характеристика;characteristic
плод;fruit
отнасям;take away
ref;ref
гориво;fuel
изглед;view
етаж;floor
плащам;I pay
поток;flow
сълза;tear
високо;high
необходимо;necessary
природа;nature
отделя;separates
способност;ability
тегло;weight
запад;west
лято;summer
Г;Mr.
наблюдение;observation
управителен;managerial
боен;combat
попадна;came across
късно;late
брюксел;Brussels
посещение;visit
ранен;wounded
кафе;coffee
месо;meat
значителен;significant
търсене;search
осигуряване;insurance
британски;British
посочвам;I point out
смях;laugh
портрет;portrait
стоянов;stoyanov
откъде;from where
извършване;performance
въвеждане;introduction
20px;20px
звуча;sounds
предаване;transmission
+++++;+++++
внеса;contribution
спор;dispute
непрекъснато;continuously
освобождаване;release
женски;female
въз;res
90;90
отдел;department
щастие;happiness
събудя;wake up
продукция;products
столичен;metropolitan
40;40
вход;entrance
германски;German
агент;agent
борд;board
немски;German
width;width
предстои;forthcoming
конвенция;convention
доверие;trust
четвърти;fourth
осъществявам;carry out
ценен;valuable
СДС;UDF
зависимост;dependence
откривам;I discover
изделие;product
X;X
селскостопански;agricultural
дължина;length
образувам;form
поклатя;shake
прошепна;she whispered
първа;first
париж;Paris
механизъм;mechanism
дъх;breath
оттук;from here
слава;glory
построя;construction
настъпя;occurs
лошо;bad
§;§
заявление;application
стъкло;glass
ужас;horror
ей;her
професор;professor
дядо;grandfather
спортен;sports
37;37
радио;radio
кос;braid
митнически;customs
кутия;box
хранителен;nutritious
империя;empire
лодка;boat
принудя;forcing
нуждая;need
следователно;therefore
въртя;I turn
студент;student
стисна;squeezed
задължителен;mandatory
албум;album
непознат;unknown
пистолет;pistol
таблетка;tablet
избирам;choose
доволен;satisfied
постепенно;gradually
москва;moscow
двадесет;twenty
контакт;contact
засягам;I touch
левски;levski
кг;kg
найвече;most of all
отнема;takes
цигара;cigarette
поръчка;order
рязко;sharply
приготвя;prepares
положителен;positive
замисля;he thought
гняв;anger
настоявам;I insist
впечатление;impression
признавам;I admit
оттам;from there
навярно;probably
подготвя;prepares
отказвам;I refuse
обяснение;explanation
съобщавам;I announce
италиански;Italian
обзавеждане;furniture
НАТО;NATO
жълт;yellow
2003;2003
U;U
дребен;small
боря;borya
токущо;right now
възстановяване;recovery
дъно;bottom
2002;2002
единица;unit
първо;first
html;html
завършвам;I'm finishing
езеро;lake
2011;2011
очакване;anticipation
масло;butter
преглед;review
киселина;acid
въздействие;impact
земеделски;agricultural
прокуратура;prosecutor's office
канал;channel
75;75
измина;passed
топъл;warm
чувал;bag
селски;rural
достигам;I reach
мъжки;male
повтарям;I repeat
борис;boris
множество;many
нож;knife
предоставяне;providing
ужасен;terrible
кредитен;credit
облечен;dressed
верен;faithful
сдружение;association
баба;grandmother
препродажба;resale
flagicon;flagicon
получаване;receiving
специално;specially
клон;clone
див;see
изразя;expressed
замина;left
реклама;advertising
атака;attack
върховен;supreme
счетоводен;accounting
оперативен;operational
коалиция;coalition
превод;translation
ограничение;restriction
преминавам;I pass
статия;article
кухня;kitchen
граф;count
никола;Nicholas
прехвърля;transfers
напрежение;voltage
Йорк;York
купа;Bowl
окръг;county
строг;strict
спомена;mentioned
въздушен;air
естествен;natural
парк;park
любим;we love
лиценз;license
спокоен;calm
доставка;delivery
присъствам;I attend
персонал;staff
тесен;narrow
ръст;growth
нар;born
интелектуален;intellectual
коляно;knee
програмен;software
апартамент;apartment
труп;corpse
махна;waved
91;91
кръст;cross
увеличение;raise
уверя;I assure you
мисия;mission
появявам;appear
подробност;detail
слънчев;sunny
значително;significantly
обратен;reverse
29;29
лагер;camp
кръвен;blood
дървен;wooden
постоянно;always
порано;early
водещ;leading
въпросен;in question
беден;poor
складов;warehouses
въздъхна;he sighed
допусна;allowed
i;i
пея;sing
борисов;Borisov
престана;stopped
изградя;build
потърся;I searched
позная;I guess
старец;elder
книжа;books
дружествен;friendly
покана;invitation
навсякъде;everywhere
планирам;I plan
число;number
компютър;computer
търг;auction
невероятен;amazing
явя;show up
блок;block
природен;natural
наличие;availability
шапка;hat
ООН;UN
сив;gray
електрически;electric
домашен;home
провинция;province
намалявам;decrease
официално;officially
привлека;attracted
инициатива;initiative
конфликт;conflict
разкрия;revealed
засегна;affected
актьор;actor
гаранция;warranty
теория;theory
герб;coat of arms
разчитам;I count
генерален;general
полицейски;police
концентрация;concentration
вж;see
определено;definitely
отворен;open
честота;frequency
жилище;housing
съжаление;sorry
провеждане;conducting
издаден;issued
свързвам;connect
to;to
глупав;stupid
информирам;I inform
съветски;Soviet
джордж;george
другар;comrade
издаване;issuance
спека;heat
точен;accurate
стопанство;farm
предимно;mostly
разположение;location
километър;kilometer
мама;mom
тънък;thin
двайсет;twenty
праг;prag
дъжд;rain
василев;василев
96;96
платя;pay
отхвърля;rejects
почна;began
съгласие;consent
произведа;produced
летище;airport
М;M
свидетел;witness
прекрасен;wonderful
касационен;cassation
полет;flight
чело;forehead
предупредя;warned
сфера;sphere
понеделник;Monday
воден;water
сертификат;certificate
место;place
покрив;roof
викам;I shout
промишленост;industry
Св;St.
техник;technician
нататък;onwards
тест;test
загина;died
предназнача;intended
пожелая;wishing
главно;mainly
изгубя;I lose
дебел;thick
татко;father
44;44
долу;down
регистрация;registration
настроение;mood
мозък;brain
великобритания;Great Britain
император;emperor
обичаен;usual
заплаха;threat
македонски;Macedonian
спорт;sports
лекувам;treat
евентуален;possible
фон;background
традиция;tradition
засмея;he laughed
принадлежа;belong to
благодарение;thanks
памет;memory
промишлен;industrial
проява;manifestation
вечеря;dinner
някак;somehow
джак;jack
произвеждам;produce
взаимен;mutual
абсолютно;absolutely
запозная;meet
ключ;key
приказка;a fairy tale
предавам;I pass on
успокоя;calming down
придобия;acquired
отчитам;report
труден;hard
представяне;presentation
мандат;mandate
МВР;Ministry of the Interior
взимам;take
товар;cargo
растение;plant
ширина;width
двоен;double
свет;the world
спусна;dropped
съставен;composed
съществен;essential
дупка;hole
музей;museum
убиец;killer
изготвя;draws
музикален;musical
ремонт;repair
D;D
намеса;intervention
неделя;Sunday
страшен;scary
римски;Roman
бутилка;bottle
апарат;apparatus
празник;holiday
водач;guide
background;background
отбрана;defense
художник;painter
асоциация;association
препоръчвам;I recommend
цвете;flower
измисля;invented
тел;tel
еднакъв;the same
стълба;ladder
брак;marriage
кула;tower
налягане;pressure
